dc_min,2.9,4.7,6.3,7.9,9.5,11.6,13.6,15.6,18.6,21.6,25.6,30.6,35.6,40.6,45.6,50.6,55.6,60.6,65.6,70.6,75.6,80.6,85.6,90.6,95.6,100.6,105.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,15,13,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,30,27,24,21,18,14,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,45,42,39,36,32,28,24,19,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,59,56,53,50,46,43,38,33,27,19,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,74,71,68,64,60,57,52,46,40,32,23,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,89,86,82,79,75,71,66,60,54,45,36,27,19,10,2,0,0,0,0,0,0,0,0,0,0,0
105,105,104,100,97,93,89,85,80,74,67,58,49,40,31,22,14,5,0,0,0,0,0,0,0,0,0,0
120,120,118,115,111,107,103,99,94,87,80,72,62,52,43,34,25,17,8,0,0,0,0,0,0,0,0,0
135,135,133,129,126,122,117,113,107,101,94,85,75,65,55,46,37,28,19,11,3,0,0,0,0,0,0,0
150,150,148,144,140,136,131,127,121,115,107,97,87,77,67,58,49,39,30,22,13,5,0,0,0,0,0,0
165,165,162,158,155,150,145,141,135,128,120,110,100,89,79,69,60,51,41,32,24,15,7,0,0,0,0,0
180,180,177,173,169,164,159,154,148,141,133,123,112,102,91,81,71,62,52,43,34,25,17,8,0,0,0,0
195,195,192,187,183,178,173,168,162,155,146,136,125,114,103,93,82,72,63,53,44,35,26,18,9,1,0,0
210,210,206,202,197,193,187,182,176,168,159,149,137,126,115,104,93,83,73,64,54,45,36,27,18,10,2,0
225,225,221,216,212,207,201,196,189,181,172,161,149,138,126,115,104,94,84,74,64,55,45,36,27,19,10,2
240,240,235,231,226,221,215,209,203,194,185,174,161,149,138,126,115,104,94,84,74,64,55,45,36,28,19,10
255,255,250,245,240,235,229,223,216,208,198,186,173,161,149,137,126,115,104,94,84,74,64,54,45,36,27,19
270,270,264,259,254,249,243,237,229,221,211,199,185,173,160,148,137,125,114,103,93,83,73,63,54,45,36,27
285,285,279,274,269,263,256,250,243,234,224,211,197,184,171,159,147,135,124,113,102,92,82,72,62,53,44,35
300,299,293,288,283,277,270,264,256,247,236,223,209,196,182,170,157,146,134,123,112,101,91,81,71,61,52,42
315,314,308,302,297,290,284,277,269,259,249,235,221,207,193,180,168,155,144,132,121,110,99,89,79,69,60,50
330,329,322,317,311,304,297,290,282,272,261,247,232,218,204,191,178,165,153,141,130,119,108,97,87,77,67,58
345,343,337,331,325,318,311,304,295,285,273,259,244,229,215,201,188,175,163,150,139,127,116,105,95,85,75,65
360,358,351,345,339,332,324,317,308,298,286,271,255,240,225,211,198,185,172,159,147,136,125,114,103,92,82,72
375,373,366,359,353,346,338,330,321,310,298,283,267,251,236,221,208,194,181,168,156,144,133,121,110,100,90,79
390,387,380,373,367,359,351,343,334,323,310,294,278,262,246,231,217,203,190,177,165,152,141,129,118,107,97,86
405,402,394,388,381,373,365,356,347,335,322,306,289,272,257,241,227,212,199,186,173,160,148,137,125,114,104,93
420,417,409,402,395,387,378,369,359,347,334,317,300,283,267,251,236,222,208,194,181,168,156,144,133,121,111,100
435,431,423,416,408,400,391,382,372,360,346,329,311,293,277,261,245,230,216,202,189,176,164,152,140,128,117,106
450,448,440,432,424,416,406,397,387,374,360,342,323,305,288,272,256,241,226,212,198,185,172,160,148,136,125,114
470,468,459,451,443,434,424,415,403,390,375,357,337,319,301,284,268,252,237,223,209,195,182,169,157,145,133,122
490,487,478,469,461,451,441,431,420,406,390,371,351,332,314,296,279,263,248,233,219,205,191,178,166,154,142,130
510,506,497,488,479,469,458,448,436,422,406,386,365,345,326,308,291,274,258,243,228,214,200,187,174,162,150,138
530,526,516,506,497,487,476,465,452,437,420,400,378,358,338,320,302,285,269,253,238,223,209,196,183,170,158,146
550,547,537,527,517,506,495,484,470,455,437,416,393,372,352,333,314,297,280,264,248,233,219,205,192,179,166,154
575,572,560,550,539,528,516,504,490,473,455,433,409,387,366,347,328,309,292,275,260,244,229,215,201,188,175,163
600,596,583,572,562,549,536,524,509,492,473,450,425,402,381,360,340,322,304,287,270,255,239,225,211,197,184,171
625,620,607,595,584,571,557,544,528,511,491,466,441,417,394,373,353,334,315,298,281,265,249,234,220,206,192,179
650,643,630,617,605,592,577,564,547,529,508,482,456,431,408,386,365,345,326,308,291,274,258,243,228,214,201,187
675,670,655,642,629,615,600,585,568,548,526,500,472,446,422,399,378,357,338,319,302,285,268,253,238,223,209,195
705,698,683,668,655,640,623,608,590,569,546,518,489,462,437,414,391,370,350,331,313,295,278,262,247,232,218,204
735,727,710,695,680,664,647,631,611,589,565,536,506,478,452,427,404,382,362,342,323,305,288,272,256,241,226,212
765,755,737,721,705,688,670,653,632,609,584,553,522,493,466,440,417,394,373,353,333,315,297,281,264,249,234,220
795,783,764,746,730,712,692,674,653,628,602,570,537,507,479,453,428,405,383,363,343,324,306,289,272,257,241,227
825,813,793,774,756,737,716,697,674,649,621,588,554,522,493,466,441,417,394,373,353,334,315,298,281,265,249,234
860,846,823,803,784,763,741,721,697,670,641,606,570,538,507,479,453,429,405,384,363,343,324,306,289,273,257,242
895,878,854,832,812,790,766,745,719,691,660,623,586,552,521,492,465,440,416,393,372,352,333,314,297,280,264,248
930,910,884,861,839,815,790,767,740,710,678,640,601,566,534,504,476,450,426,403,381,360,341,322,304,287,271,255
965,942,914,889,865,840,813,789,761,729,695,656,616,579,546,515,487,460,435,411,389,368,348,329,311,293,277,261
1000,976,945,918,893,866,838,812,782,749,713,672,630,593,558,526,497,470,444,420,397,376,356,336,318,300,283,267
1040,1011,978,949,922,893,863,835,804,769,731,688,645,606,570,538,508,479,453,429,405,384,363,343,324,306,289,273
1080,1047,1010,979,950,918,886,858,824,787,748,703,659,618,582,548,517,488,462,437,413,391,370,349,330,312,295,278
1120,1081,1042,1008,977,943,909,879,844,805,765,718,671,630,592,558,526,497,470,444,420,397,376,355,336,317,300,283
1160,1116,1073,1036,1003,967,932,899,862,822,780,731,683,641,602,567,534,505,477,451,426,403,381,361,341,322,305,287
