dmc_min,0,20,40,60,80,100,120,140,160,180,200,225,250,275,300,330,360,400,440,490,540,600,660,730,810,900,1000,1100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
4,4,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
5,5,7,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6,6,8,9,10,10,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12
7,7,9,10,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14
8,8,10,11,12,13,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16
9,9,10,12,14,14,15,15,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18
10,10,11,13,15,16,16,17,17,17,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,20,20,20
11,11,11,14,16,17,18,18,19,19,19,19,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21
12,12,12,15,17,18,19,19,20,20,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23
13,13,13,16,18,19,20,21,21,22,22,23,23,23,23,24,24,24,24,24,24,25,25,25,25,25,25,25,25
14,13,14,16,19,20,21,22,23,23,24,24,24,25,25,25,25,26,26,26,26,26,27,27,27,27,27,27,27
15,15,15,17,20,22,23,24,25,25,26,26,27,27,27,28,28,28,28,29,29,29,29,29,30,30,30,30,30
17,17,17,19,21,24,25,26,27,28,28,29,30,30,30,31,31,31,32,32,32,33,33,33,33,33,33,34,34
19,19,19,20,23,25,27,28,29,30,31,32,32,33,33,34,34,35,35,35,36,36,36,36,37,37,37,37,37
21,21,21,21,24,27,29,30,32,33,33,34,35,36,36,37,37,38,38,39,39,39,40,40,40,40,41,41,41
23,23,23,23,25,28,31,32,34,35,36,37,38,38,39,40,40,41,41,42,42,43,43,43,44,44,44,45,45
